id,city,lat,lon,datetime,temp_min,temp_max,humidity,wind_speed,weather_main,weather_description,temp_average
28,Collioure,42.52505,3.0831554,2023-12-02 21:00:00,6.8,8.46,78,9.56,Clouds,few clouds,8.0
34,Bayonne,43.4945144,-1.4736657,2023-12-02 21:00:00,6.49,7.12,93,2.67,Clouds,broken clouds,7.0
33,Biarritz,43.4832523,-1.5592776,2023-12-02 21:00:00,7.37,7.62,93,2.11,Clouds,broken clouds,7.0
26,Aigues Mortes,43.5661521,4.19154,2023-12-02 21:00:00,4.24,4.84,45,5.55,Clear,clear sky,5.0
19,Bormes les Mimosas,43.1506968,6.3419285,2023-12-02 21:00:00,4.23,4.6,50,11.92,Clear,clear sky,4.0
21,Marseille,43.2961743,5.3699525,2023-12-02 21:00:00,3.49,4.07,61,15.75,Clear,clear sky,4.0
27,Saintes Maries de la mer,43.4515922,4.4277202,2023-12-02 21:00:00,3.12,4.38,58,8.07,Clear,clear sky,4.0
20,Cassis,43.2140359,5.5396318,2023-12-02 21:00:00,3.67,3.88,61,15.11,Clear,clear sky,4.0
29,Carcassonne,43.2130358,2.3491069,2023-12-02 21:00:00,3.9,4.24,76,6.38,Clouds,scattered clouds,4.0
4,Le Havre,49.4938975,0.1079732,2023-12-02 21:00:00,4.07,4.51,70,6.16,Clear,clear sky,4.0
32,Montauban,44.0175835,1.3549991,2023-12-02 21:00:00,1.75,3.91,89,2.19,Clear,clear sky,3.0
31,Toulouse,43.6044622,1.4442469,2023-12-02 21:00:00,2.11,2.74,87,2.45,Clear,clear sky,2.0
25,Nimes,43.8374249,4.3600687,2023-12-02 21:00:00,1.84,2.37,55,4.77,Clear,clear sky,2.0
23,Avignon,43.9492493,4.8059012,2023-12-02 21:00:00,1.65,2.88,59,10.43,Clear,clear sky,2.0
35,La Rochelle,46.1591126,-1.1520434,2023-12-02 21:00:00,0.07,3.71,86,3.81,Clouds,scattered clouds,2.0
24,Uzes,44.0121279,4.4196718,2023-12-02 21:00:00,0.43,2.1,59,4.86,Clear,clear sky,1.0
22,Aix en Provence,43.5298424,5.4474738,2023-12-02 21:00:00,0.66,1.87,67,7.81,Clear,clear sky,1.0
1,Mont Saint Michel,48.6359541,-1.511459954959514,2023-12-02 21:00:00,1.3,1.59,85,5.47,Clouds,overcast clouds,1.0
2,St Malo,49.314695,-96.9538228,2023-12-02 21:00:00,0.55,1.58,45,6.89,Clouds,overcast clouds,1.0
5,Rouen,49.4404591,1.0939658,2023-12-02 21:00:00,0.57,0.93,87,2.79,Clouds,scattered clouds,1.0
6,Paris,48.8588897,2.3200410217200766,2023-12-02 21:00:00,-0.15,1.95,77,1.88,Clear,clear sky,1.0
3,Bayeux,49.2764624,-0.7024738,2023-12-02 21:00:00,0.14,0.48,69,4.48,Clouds,overcast clouds,0.0
7,Amiens,49.8941708,2.2956951,2023-12-02 21:00:00,-0.23,0.0,90,2.87,Clear,clear sky,-0.0
8,Lille,50.6365654,3.0635282,2023-12-02 21:00:00,0.22,0.25,83,2.53,Clouds,scattered clouds,0.0
17,Lyon,45.7578137,4.8320114,2023-12-02 21:00:00,-0.83,-0.04,74,2.53,Clouds,overcast clouds,-0.0
30,Ariege,42.9455368,1.4065544156065486,2023-12-02 21:00:00,-1.44,-1.31,83,1.91,Snow,light snow,-1.0
9,Strasbourg,48.584614,7.7507127,2023-12-02 21:00:00,-3.06,-1.78,80,1.86,Clouds,overcast clouds,-2.0
18,Gorges du Verdon,43.7496562,6.3285616,2023-12-02 21:00:00,-2.89,-1.66,80,5.09,Clear,clear sky,-2.0
14,Dijon,47.3215806,5.0414701,2023-12-02 21:00:00,-2.99,-1.18,69,1.19,Clouds,overcast clouds,-2.0
11,Colmar,48.0777517,7.3579641,2023-12-02 21:00:00,-3.83,-1.7,87,1.34,Clouds,broken clouds,-3.0
12,Eguisheim,48.0447968,7.3079618,2023-12-02 21:00:00,-3.9,-1.74,87,1.35,Clouds,broken clouds,-3.0
15,Annecy,45.8992348,6.1288847,2023-12-02 21:00:00,-5.42,-0.92,80,0.38,Snow,light snow,-3.0
16,Grenoble,45.1875602,5.7357819,2023-12-02 21:00:00,-4.26,-1.8,95,1.43,Snow,light snow,-3.0
13,Besancon,47.2380222,6.0243622,2023-12-02 21:00:00,-5.9,-2.61,97,0.95,Clouds,broken clouds,-4.0
10,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,2023-12-02 21:00:00,-6.76,-4.93,86,1.5,Clouds,broken clouds,-6.0
